date,usdt_adj_vol,usdt_supply,usdt_circulating_supply
2025/1/14 0:00,32327865992.272663,136488713589.98003,137240776960.24
2025/1/15 0:00,35498940450.79375,136758409437.57997,137247766010.506
2025/1/16 0:00,34076821184.12854,136681742186.96997,137450564334.501
2025/1/17 0:00,37349085387.284584,137475616941.75006,137460714171.484
2025/1/18 0:00,28222382235.718548,137326654777.32997,138298010509.154
2025/1/19 0:00,36551584433.10849,137415190493.94005,138355809408.555
2025/1/20 0:00,47998114307.57453,137516841114.85,138368309376.052
2025/1/21 0:00,39105725814.74909,137730875016.84003,138429631272.732
2025/1/22 0:00,33918908086.393646,137812675404.23,138546341944.75
2025/1/23 0:00,38092336944.58097,138331619059.01007,138608320795.918
2025/1/24 0:00,35364852645.28975,138793084577.40997,138937765636.776
2025/1/25 0:00,18116879589.797894,138779350226.13992,139330807096.845
2025/1/26 0:00,15758225792.60176,138653063599.09006,139329876218.595
2025/1/27 0:00,39678355100.06864,138726179182.18008,139335051398.719
2025/1/28 0:00,28808709048.59216,138708271260.1801,139457358263.177
2025/1/29 0:00,23347022379.26605,138525391430.67,139468758259.846
2025/1/30 0:00,22588312464.330444,138547700862.62003,139405758247.312
2025/1/31 0:00,25356978134.771908,138570009490.15005,139394146312.546
2025/2/1 0:00,16240804299.38801,138578869354.03998,139404246312.202
2025/2/2 0:00,21207726778.12897,138665525737.58002,139404246308.183
2025/2/3 0:00,51397240031.687935,139965632581.81998,139399246306.536
2025/2/4 0:00,36180068821.70168,140679129093.54996,140478740215.596
2025/2/5 0:00,35300301193.06876,140836370178.63004,141386769197.643
2025/2/6 0:00,32698031493.917107,140949931775.59012,141166869194.87
2025/2/7 0:00,33514283535.82474,141182401051.82996,141355200814.963
2025/2/8 0:00,18341181274.97935,141234746669.17993,141664621553.594
2025/2/9 0:00,15850868815.816994,141133869436.47,141737141514.882
